Category,Category_Description,At_Least_One_Dose,Fully_Vaccinated
Race/Ethnicity,NH White,373007,299503
Race/Ethnicity,NH Asian,33260,28855
Race/Ethnicity,NH Black,59650,41540
Race/Ethnicity,NH Other,190324,152074
Race/Ethnicity,Unknown,97946,66378
MultiCat Age Groups,15-Dec,67537,47911
MultiCat Age Groups,16-18,57823,44676
MultiCat Age Groups,96+,1774,1446
5Cat Age Groups,12+,1516675,1263881
5Cat Age Groups,16+,1444434,1205682
5Cat Age Groups,18+,1403827,1172217
5Cat Age Groups,18-49,670366,569869
5Cat Age Groups,50-64,313262,262489
5Cat Age Groups,65+,268902,211536
Gender,Female,714443,612606
Gender,Male,664688,520915
Gender,Other,206,183
Gender,Unknown,2290,1854
Race/Ethnicity,Hispanic,589403,494743
Race/Ethnicity,NH White,379897,312428
Race/Ethnicity,NH Asian,33058,28936
Race/Ethnicity,NH Black,62235,44541
Race/Ethnicity,NH Other,227682,195351
Race/Ethnicity,Unknown,89352,59559
MultiCat Age Groups,15-Dec,72241,58199
MultiCat Age Groups,16-18,61190,50329
MultiCat Age Groups,19-29,223701,185388
MultiCat Age Groups,30-39,216609,185493
MultiCat Age Groups,40-49,209473,182124
MultiCat Age Groups,50-59,202675,179747
MultiCat Age Groups,60-64,92114,82742
MultiCat Age Groups,65-75,154286,138232
MultiCat Age Groups,76-85,62307,54712
MultiCat Age Groups,86-95,19757,17127
MultiCat Age Groups,96+,1801,1465
5Cat Age Groups,12+,1533078,1273327
5Cat Age Groups,16+,1460697,1214730
5Cat Age Groups,18+,1419868,1181029
5Cat Age Groups,18-49,673984,573889
5Cat Age Groups,50-64,314960,263722
5Cat Age Groups,65+,271455,212729
Gender,Female,718285,616213
Gender,Male,669817,524420
Gender,Other,206,183
Gender,Unknown,2261,1822
Race/Ethnicity,Hispanic,593812,498536
Race/Ethnicity,NH White,379617,311626
Race/Ethnicity,NH Asian,32946,28784
Race/Ethnicity,NH Black,62587,44748
Race/Ethnicity,NH Other,233421,200847
Race/Ethnicity,Unknown,88186,58097
MultiCat Age Groups,15-Dec,72381,58597
MultiCat Age Groups,16-18,61493,50656
MultiCat Age Groups,19-29,225022,186958
MultiCat Age Groups,30-39,217859,186814
MultiCat Age Groups,40-49,210439,183162
MultiCat Age Groups,50-59,203502,180603
MultiCat Age Groups,60-64,92535,83119
MultiCat Age Groups,65-75,155300,138929
MultiCat Age Groups,76-85,62874,55049
MultiCat Age Groups,86-95,19958,17269
MultiCat Age Groups,96+,1824,1482
